,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Vámonos De Viaje,BACH,Bandalos Chinos,2018,236000,65,0.762,0.033,0.762,0.753,0.00265,0.35,-6.167,0.0313,129.018,4
1,Tú Me Dejaste De Querer,El Madrileño,C. Tangana,2021-02-26,198493,73,0.823,0.311,0.823,0.723,0.00315,0.0998,-4.778,0.229,83.97,4
2,Torre de Marfil,Torre de Marfil,Rufus T. Firefly,2021-05-21,280037,25,0.204,0.0323,0.204,0.599,0.177,0.116,-10.124,0.129,173.791,4
3,Linger On,Sand,Balthazar,2021-02-26,261413,43,0.798,0.624,0.798,0.398,0.0403,0.123,-10.179,0.0682,106.02,4
4,Un Breve e Insignificante Momento en la Breve e Insignificante Historia de la Humanidad,Loto,Rufus T. Firefly,2018-06-01,276373,36,0.608,0.305,0.608,0.627,0.731,0.0758,-8.292,0.0302,120.009,4
5,Nos Vemos Luego,Casa Vargas,Colectivo Da Silva,2021-11-12,214011,39,0.684,0.106,0.684,0.671,0.000793,0.0332,-7.308,0.0383,160.028,4
6,La Declaración,La Declaración,El Zar,2020-05-15,277573,61,0.823,0.197,0.823,0.486,0.0021,0.0696,-9.111,0.0421,113.006,4
7,Tocarte,Tinta y Tiempo,Jorge Drexler,2022-04-22,154047,62,0.931,0.34,0.931,0.45,0.00258,0.058,-10.56,0.171,133.909,4
8,Putita,Infame,Babasónicos,2003-10-19,225706,69,0.477,0.514,0.477,0.753,0.00381,0.17,-6.112,0.0343,178.013,4
9,Levitando,Presente,Technicolor Fabrics,2019-05-31,184555,44,0.504,0.0697,0.504,0.725,0.042,0.256,-8.931,0.0461,79.845,4
10,Dale Calma,Presente,Technicolor Fabrics,2019-05-31,213714,45,0.755,0.00125,0.755,0.508,0.000595,0.331,-7.644,0.0337,110.005,4
11,Coda feliz,Mayéutica,Robe,2021-04-30,90061,49,0.605,0.0773,0.605,0.153,0.0,0.0856,-23.473,0.18,116.816,4
12,Despacio,Chango,Isla de Caras,2018-09-21,185994,48,0.564,0.301,0.564,0.664,0.077,0.306,-6.561,0.041,174.144,4
13,Cariñito,Cariñito,Ruzzi,2021-07-02,221133,47,0.715,0.456,0.715,0.373,0.00042,0.0957,-11.48,0.0498,149.986,4
14,H.f.g.w (Canyons Drunken Rage),Tame Impala,Tame Impala,2008-09-22,334706,41,0.853,0.0665,0.853,0.435,0.434,0.0616,-7.574,0.0478,110.004,4
15,Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,2022-05-06,230704,77,0.872,0.275,0.872,0.588,0.0,0.17,-6.276,0.0492,142.004,4
16,Cállame,El Big Blue,Bandalos Chinos,2022-05-06,187266,55,0.696,0.216,0.696,0.873,0.00259,0.369,-7.443,0.0406,144.185,4
17,Pienso,Mujer Eléctrica,Simon Grossmann,2018-09-21,234373,44,0.756,0.227,0.756,0.695,1.86e-05,0.0896,-5.535,0.0371,133.991,4
18,Dártelo,Nave Especial,Ruzzi,2018-11-11,197328,47,0.581,0.825,0.581,0.536,0.00307,0.0845,-11.494,0.146,183.993,4
19,Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,2022-05-06,148143,79,0.503,0.693,0.503,0.496,0.0,0.123,-9.123,0.0556,187.844,4
20,Las Voces,Las Voces,El Zar,2019-08-23,210911,54,0.643,0.0322,0.643,0.817,6.68e-05,0.119,-5.492,0.0319,93.015,4
21,Casio,For Ever,Jungle,2018-09-14,234369,70,0.816,0.431,0.816,0.492,0.0896,0.0995,-7.464,0.0752,115.989,4
22,Yemayá,Yemayá,Mexican Institute Of Sound,2020-06-26,239875,43,0.728,0.0184,0.728,0.515,0.0282,0.0693,-10.146,0.0274,109.987,4
23,El Tesoro,La Sintesis O'Konor,El Mató a un Policía Motorizado,2017-06-22,271400,42,0.679,0.0862,0.679,0.754,0.00382,0.242,-6.633,0.0291,112.872,4
24,Te Para 3 - MTV Unplugged,Comfort Y Musica Para Volar,Soda Stereo,1996-09-01,247000,69,0.523,0.707,0.523,0.339,0.0111,0.709,-9.913,0.0275,115.7,3
25,Lonely Nights,Sunsetter,LEISURE,2021-12-03,200093,65,0.688,0.124,0.688,0.596,0.0321,0.244,-7.698,0.0298,104.06,4
26,Somos Dos,Amanecer,Bomba Estéreo,2015-06-02,237293,58,0.691,0.0269,0.691,0.873,0.0107,0.289,-5.279,0.064,97.996,4
27,Palmeras,Destellos,CLUBZ,2019-01-25,237093,21,0.719,0.0406,0.719,0.664,0.41,0.104,-7.847,0.0581,124.001,4
28,Cuando,Nave Especial,Ruzzi,2018-11-11,206475,56,0.713,0.607,0.713,0.516,0.000631,0.098,-11.254,0.0257,108.015,4
29,Espuma y Arrecife (feat. Los Gaiteros de San Jacinto),A la Mar,Vicente Garcia,2016-08-26,244066,57,0.776,0.321,0.776,0.555,1.97e-05,0.0569,-6.634,0.115,97.928,4
30,Dulcito e Coco,A la Mar,Vicente Garcia,2016-08-26,189066,64,0.788,0.83,0.788,0.434,3.62e-06,0.0999,-7.815,0.0302,93.003,4
31,Desde las Alturas,Desde las Alturas,Guitarricadelafuente,2020-04-03,223705,52,0.559,0.833,0.559,0.219,6.16e-06,0.0981,-10.447,0.0344,99.195,4
32,Ganas de...,The Cortijo,Tu Otra Bonita,2016-03-20,165600,45,0.632,0.572,0.632,0.445,0.00113,0.129,-13.887,0.0397,166.933,4
33,Alitas de mar (feat. Juanito Makandé),Crema,Tu Otra Bonita,2021-03-12,194050,51,0.653,0.581,0.653,0.605,0.0,0.101,-6.371,0.0368,157.838,4
34,Lunita,Aliento,Danit,2017-01-24,351754,54,0.738,0.834,0.738,0.215,0.165,0.109,-20.824,0.0407,113.964,4
35,What The Water Gave Me,Ceremonials (Original Deluxe Version),Florence + The Machine,2011-01-01,333400,54,0.483,0.00681,0.483,0.572,0.000416,0.112,-6.41,0.0316,124.112,4
36,Ozean,Ozean,AnnenMayKantereit,2019-09-20,215265,61,0.529,0.918,0.529,0.212,0.0,0.117,-11.979,0.0361,142.074,4
