,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Don't Look Back in Anger - Remastered,0.328,0.936,0,-3.254,1,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,audio_features,12dU3vAh6AFoJkisorfoUl,spotify:track:12dU3vAh6AFoJkisorfoUl,https://api.spotify.com/v1/tracks/12dU3vAh6AFoJkisorfoUl,https://api.spotify.com/v1/audio-analysis/12dU3vAh6AFoJkisorfoUl,289560,4
1,Everyday I Love You Less And Less,0.49,0.956,1,-4.556,0,0.0407,0.00466,6.15e-06,0.242,0.577,160.028,audio_features,5dvBeCMTzUNjyWIcuykzyh,spotify:track:5dvBeCMTzUNjyWIcuykzyh,https://api.spotify.com/v1/tracks/5dvBeCMTzUNjyWIcuykzyh,https://api.spotify.com/v1/audio-analysis/5dvBeCMTzUNjyWIcuykzyh,217707,4
2,Mysteries of the World,0.752,0.39,9,-11.045,1,0.0549,0.00239,0.49,0.0365,0.413,119.949,audio_features,5WYzouzEJIKk0QJjNsiVue,spotify:track:5WYzouzEJIKk0QJjNsiVue,https://api.spotify.com/v1/tracks/5WYzouzEJIKk0QJjNsiVue,https://api.spotify.com/v1/audio-analysis/5WYzouzEJIKk0QJjNsiVue,330080,4
3,50/50,0.838,0.699,7,-7.216,1,0.0521,0.0608,0.87,0.0926,0.386,124.137,audio_features,0JkryawvRTmBeA6cfzKumy,spotify:track:0JkryawvRTmBeA6cfzKumy,https://api.spotify.com/v1/tracks/0JkryawvRTmBeA6cfzKumy,https://api.spotify.com/v1/audio-analysis/0JkryawvRTmBeA6cfzKumy,246167,4
4,All Alone,0.358,0.811,1,-8.638,1,0.0414,7.53e-05,0.0811,0.0961,0.0626,141.917,audio_features,7jMleFuF26uZwakctqaLM7,spotify:track:7jMleFuF26uZwakctqaLM7,https://api.spotify.com/v1/tracks/7jMleFuF26uZwakctqaLM7,https://api.spotify.com/v1/audio-analysis/7jMleFuF26uZwakctqaLM7,158836,4
5,"Young Lady, You're Scaring Me",0.371,0.921,9,-5.533,1,0.0784,0.0113,2.7e-05,0.43,0.508,109.675,audio_features,6PtIXICwmoxCgLjw2zApDs,spotify:track:6PtIXICwmoxCgLjw2zApDs,https://api.spotify.com/v1/tracks/6PtIXICwmoxCgLjw2zApDs,https://api.spotify.com/v1/audio-analysis/6PtIXICwmoxCgLjw2zApDs,220538,4
6,Hellraiser,0.397,0.852,4,-6.348,1,0.0344,0.00024,0.000282,0.228,0.506,96.064,audio_features,4nvYDy427VvA1TcEkdgZII,spotify:track:4nvYDy427VvA1TcEkdgZII,https://api.spotify.com/v1/tracks/4nvYDy427VvA1TcEkdgZII,https://api.spotify.com/v1/audio-analysis/4nvYDy427VvA1TcEkdgZII,292720,4
7,Wondering,0.469,0.444,6,-7.064,1,0.0396,0.808,0.0,0.0932,0.221,129.385,audio_features,6GfTYfb5eBLN1p1ByOsPmi,spotify:track:6GfTYfb5eBLN1p1ByOsPmi,https://api.spotify.com/v1/tracks/6GfTYfb5eBLN1p1ByOsPmi,https://api.spotify.com/v1/audio-analysis/6GfTYfb5eBLN1p1ByOsPmi,225382,4
8,Polyethylene (Parts 1 & 2) - Remastered,0.22,0.499,2,-8.363,1,0.0355,0.000573,0.00112,0.171,0.209,148.969,audio_features,17npanU0UU9JzglUnCoKdL,spotify:track:17npanU0UU9JzglUnCoKdL,https://api.spotify.com/v1/tracks/17npanU0UU9JzglUnCoKdL,https://api.spotify.com/v1/audio-analysis/17npanU0UU9JzglUnCoKdL,262467,4
9,Rock and Roll - Remaster,0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,audio_features,4PRGxHpCpF2yoOHYKQIEwD,spotify:track:4PRGxHpCpF2yoOHYKQIEwD,https://api.spotify.com/v1/tracks/4PRGxHpCpF2yoOHYKQIEwD,https://api.spotify.com/v1/audio-analysis/4PRGxHpCpF2yoOHYKQIEwD,220561,4
10,The Sound of Silence - Electric Version,0.44,0.466,6,-9.712,1,0.0284,0.17,1.03e-06,0.118,0.543,107.744,audio_features,2YplrdHMBoRdnHgMeHEwHm,spotify:track:2YplrdHMBoRdnHgMeHEwHm,https://api.spotify.com/v1/tracks/2YplrdHMBoRdnHgMeHEwHm,https://api.spotify.com/v1/audio-analysis/2YplrdHMBoRdnHgMeHEwHm,185253,4
11,Cute But Psycho (Blinded Hearts Remix),0.709,0.907,11,-3.449,1,0.0284,0.0197,2.65e-06,0.19,0.631,115.014,audio_features,3G9zs8Eq8SProKZHEnaTF0,spotify:track:3G9zs8Eq8SProKZHEnaTF0,https://api.spotify.com/v1/tracks/3G9zs8Eq8SProKZHEnaTF0,https://api.spotify.com/v1/audio-analysis/3G9zs8Eq8SProKZHEnaTF0,174023,4
12,Even When The Water's Cold,0.709,0.831,2,-6.847,0,0.0391,0.108,0.00128,0.159,0.866,104.971,audio_features,2UjEyfnKzaY7qpBEeESJjv,spotify:track:2UjEyfnKzaY7qpBEeESJjv,https://api.spotify.com/v1/tracks/2UjEyfnKzaY7qpBEeESJjv,https://api.spotify.com/v1/audio-analysis/2UjEyfnKzaY7qpBEeESJjv,227067,4
13,Epa Wei,0.688,0.82,6,-4.715,0,0.155,0.233,0.0,0.091,0.804,107.833,audio_features,2QmsKag0YaqhAbpR9Nwmpn,spotify:track:2QmsKag0YaqhAbpR9Nwmpn,https://api.spotify.com/v1/tracks/2QmsKag0YaqhAbpR9Nwmpn,https://api.spotify.com/v1/audio-analysis/2QmsKag0YaqhAbpR9Nwmpn,208254,4
14,Pearl Cadillac,0.411,0.458,3,-6.289,0,0.0357,0.646,0.00103,0.0987,0.0833,119.689,audio_features,5O6cfjyWsteTs6Mnaz9VGE,spotify:track:5O6cfjyWsteTs6Mnaz9VGE,https://api.spotify.com/v1/tracks/5O6cfjyWsteTs6Mnaz9VGE,https://api.spotify.com/v1/audio-analysis/5O6cfjyWsteTs6Mnaz9VGE,305533,4
15,Subterranean Homesick Alien - Remastered,0.326,0.635,0,-7.092,1,0.0286,0.0255,0.00557,0.108,0.252,149.664,audio_features,0vgSQrQMEoa6VecE9Y5Dnk,spotify:track:0vgSQrQMEoa6VecE9Y5Dnk,https://api.spotify.com/v1/tracks/0vgSQrQMEoa6VecE9Y5Dnk,https://api.spotify.com/v1/audio-analysis/0vgSQrQMEoa6VecE9Y5Dnk,269093,3
16,Alone Again,0.737,0.685,5,-5.841,0,0.0468,0.123,0.155,0.177,0.338,122.842,audio_features,1xqbdoQipgmgFnGpCAtfrz,spotify:track:1xqbdoQipgmgFnGpCAtfrz,https://api.spotify.com/v1/tracks/1xqbdoQipgmgFnGpCAtfrz,https://api.spotify.com/v1/audio-analysis/1xqbdoQipgmgFnGpCAtfrz,157561,4
17,Esclavo,0.805,0.671,5,-5.316,1,0.111,0.113,0.0,0.278,0.522,90.979,audio_features,3g4UyIcQwutiG0TfW32GnX,spotify:track:3g4UyIcQwutiG0TfW32GnX,https://api.spotify.com/v1/tracks/3g4UyIcQwutiG0TfW32GnX,https://api.spotify.com/v1/audio-analysis/3g4UyIcQwutiG0TfW32GnX,219302,4
18,Goodbye Angels,0.365,0.804,9,-5.922,0,0.105,0.104,6.58e-05,0.15,0.577,171.597,audio_features,2XTkpF9T2PKvcLgamGJGx1,spotify:track:2XTkpF9T2PKvcLgamGJGx1,https://api.spotify.com/v1/tracks/2XTkpF9T2PKvcLgamGJGx1,https://api.spotify.com/v1/audio-analysis/2XTkpF9T2PKvcLgamGJGx1,268733,4
19,La femme d'argent,0.517,0.737,6,-8.189,0,0.0352,0.434,0.684,0.392,0.558,79.82,audio_features,3ZzhV6JIDKWvWR7wiKWD0C,spotify:track:3ZzhV6JIDKWvWR7wiKWD0C,https://api.spotify.com/v1/tracks/3ZzhV6JIDKWvWR7wiKWD0C,https://api.spotify.com/v1/audio-analysis/3ZzhV6JIDKWvWR7wiKWD0C,426614,4
20,12 Apostles,0.505,0.161,8,-16.473,1,0.0324,0.837,0.0,0.15,0.426,115.565,audio_features,6dNVUmRh39S46pwXjGJZGp,spotify:track:6dNVUmRh39S46pwXjGJZGp,https://api.spotify.com/v1/tracks/6dNVUmRh39S46pwXjGJZGp,https://api.spotify.com/v1/audio-analysis/6dNVUmRh39S46pwXjGJZGp,161541,4
21,Lotus Flower (SBTRKT RMX),0.792,0.49,2,-8.229,1,0.0472,0.00831,0.726,0.267,0.423,133.018,audio_features,4YjfRIqLnw9CPZMwWLM6oi,spotify:track:4YjfRIqLnw9CPZMwWLM6oi,https://api.spotify.com/v1/tracks/4YjfRIqLnw9CPZMwWLM6oi,https://api.spotify.com/v1/audio-analysis/4YjfRIqLnw9CPZMwWLM6oi,321933,4
22,In questa grande città - La prima cumbia,0.668,0.814,9,-4.467,0,0.0386,0.122,4.59e-05,0.0607,0.895,84.975,audio_features,15UYZoHCnbMbXP3HrMCXdP,spotify:track:15UYZoHCnbMbXP3HrMCXdP,https://api.spotify.com/v1/tracks/15UYZoHCnbMbXP3HrMCXdP,https://api.spotify.com/v1/audio-analysis/15UYZoHCnbMbXP3HrMCXdP,261667,4
23,walking in the snow,0.726,0.818,0,-6.473,1,0.311,0.0602,0.0,0.276,0.305,146.006,audio_features,2pVvB487ZwqdzTxEvEEors,spotify:track:2pVvB487ZwqdzTxEvEEors,https://api.spotify.com/v1/tracks/2pVvB487ZwqdzTxEvEEors,https://api.spotify.com/v1/audio-analysis/2pVvB487ZwqdzTxEvEEors,235867,4
24,No hagas planes,0.752,0.686,7,-7.94,1,0.0744,0.112,5.29e-06,0.288,0.684,121.005,audio_features,1oPzuVzezG9St5743YMjAL,spotify:track:1oPzuVzezG9St5743YMjAL,https://api.spotify.com/v1/tracks/1oPzuVzezG9St5743YMjAL,https://api.spotify.com/v1/audio-analysis/1oPzuVzezG9St5743YMjAL,232460,4
25,Doused,0.379,0.868,5,-4.913,0,0.038,0.0674,0.763,0.0645,0.744,169.984,audio_features,4QDbzpmRA6atTEEE2W7j7k,spotify:track:4QDbzpmRA6atTEEE2W7j7k,https://api.spotify.com/v1/tracks/4QDbzpmRA6atTEEE2W7j7k,https://api.spotify.com/v1/audio-analysis/4QDbzpmRA6atTEEE2W7j7k,222973,4
26,Sieben Jahre,0.495,0.463,4,-11.599,0,0.37,0.836,0.0,0.0931,0.567,82.935,audio_features,46wuZcjvvJubDY1zGE9UVE,spotify:track:46wuZcjvvJubDY1zGE9UVE,https://api.spotify.com/v1/tracks/46wuZcjvvJubDY1zGE9UVE,https://api.spotify.com/v1/audio-analysis/46wuZcjvvJubDY1zGE9UVE,218867,4
27,Rocky's Late Night,0.619,0.672,0,-6.429,0,0.0385,0.0538,0.0699,0.0518,0.805,94.998,audio_features,3AgrcbfCREzW0kGFUNJnqW,spotify:track:3AgrcbfCREzW0kGFUNJnqW,https://api.spotify.com/v1/tracks/3AgrcbfCREzW0kGFUNJnqW,https://api.spotify.com/v1/audio-analysis/3AgrcbfCREzW0kGFUNJnqW,256787,4
28,Bandit (with YoungBoy Never Broke Again),0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,audio_features,6Gg1gjgKi2AK4e0qzsR7sd,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,https://api.spotify.com/v1/tracks/6Gg1gjgKi2AK4e0qzsR7sd,https://api.spotify.com/v1/audio-analysis/6Gg1gjgKi2AK4e0qzsR7sd,189323,4
29,Outline (feat. Lou Stone),0.251,0.273,11,-14.37,0,0.0338,0.781,0.426,0.0841,0.147,98.201,audio_features,7t5PQsBRjzPRSEC9caz0lD,spotify:track:7t5PQsBRjzPRSEC9caz0lD,https://api.spotify.com/v1/tracks/7t5PQsBRjzPRSEC9caz0lD,https://api.spotify.com/v1/audio-analysis/7t5PQsBRjzPRSEC9caz0lD,297800,4
30,No Need for Eyes,0.232,0.719,8,-4.024,0,0.034,0.821,0.033,0.214,0.574,180.15,audio_features,1vHixkoZb4xeGGBAFD6rwo,spotify:track:1vHixkoZb4xeGGBAFD6rwo,https://api.spotify.com/v1/tracks/1vHixkoZb4xeGGBAFD6rwo,https://api.spotify.com/v1/audio-analysis/1vHixkoZb4xeGGBAFD6rwo,229897,3
31,Blood Under My Belt,0.595,0.894,7,-4.493,1,0.0523,0.0932,0.0165,0.2,0.79,89.968,audio_features,5Nhsz5O0DIS5Mh5E3tlBbp,spotify:track:5Nhsz5O0DIS5Mh5E3tlBbp,https://api.spotify.com/v1/tracks/5Nhsz5O0DIS5Mh5E3tlBbp,https://api.spotify.com/v1/audio-analysis/5Nhsz5O0DIS5Mh5E3tlBbp,228147,4
32,Head & Heart (feat. MNEK),0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,audio_features,6cx06DFPPHchuUAcTxznu9,spotify:track:6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/tracks/6cx06DFPPHchuUAcTxznu9,https://api.spotify.com/v1/audio-analysis/6cx06DFPPHchuUAcTxznu9,166028,4
33,We Supply,0.751,0.908,2,-5.567,1,0.0771,0.134,0.00274,0.116,0.801,99.517,audio_features,15jrsi4n0S152zsrlWkT3v,spotify:track:15jrsi4n0S152zsrlWkT3v,https://api.spotify.com/v1/tracks/15jrsi4n0S152zsrlWkT3v,https://api.spotify.com/v1/audio-analysis/15jrsi4n0S152zsrlWkT3v,250640,4
34,Come Back Baby,0.874,0.485,0,-3.026,1,0.171,0.0487,0.0,0.299,0.322,92.001,audio_features,2BuBXn15gj4MNYZydyWgrk,spotify:track:2BuBXn15gj4MNYZydyWgrk,https://api.spotify.com/v1/tracks/2BuBXn15gj4MNYZydyWgrk,https://api.spotify.com/v1/audio-analysis/2BuBXn15gj4MNYZydyWgrk,206707,4
35,Woah (feat. D3Mstreet),0.888,0.522,1,-8.936,1,0.43,0.00739,0.0,0.0452,0.623,144.011,audio_features,5lN7UtvhpwEHzifSjKw3z2,spotify:track:5lN7UtvhpwEHzifSjKw3z2,https://api.spotify.com/v1/tracks/5lN7UtvhpwEHzifSjKw3z2,https://api.spotify.com/v1/audio-analysis/5lN7UtvhpwEHzifSjKw3z2,123373,4
36,Sense,0.564,0.207,3,-10.926,1,0.032,0.892,1.8e-06,0.102,0.0898,139.933,audio_features,68wibJU4yMiqNX79IaLAsN,spotify:track:68wibJU4yMiqNX79IaLAsN,https://api.spotify.com/v1/tracks/68wibJU4yMiqNX79IaLAsN,https://api.spotify.com/v1/audio-analysis/68wibJU4yMiqNX79IaLAsN,265840,4
37,Molly's Chambers,0.598,0.911,11,-3.97,1,0.0515,0.222,3.84e-06,0.216,0.953,146.469,audio_features,0nCAVzknkzRXRgB6LhRv04,spotify:track:0nCAVzknkzRXRgB6LhRv04,https://api.spotify.com/v1/tracks/0nCAVzknkzRXRgB6LhRv04,https://api.spotify.com/v1/audio-analysis/0nCAVzknkzRXRgB6LhRv04,134907,4
38,A Little Love,0.671,0.855,7,-4.254,0,0.0375,0.00437,0.0,0.131,0.329,117.98,audio_features,4WnjtGGAgtrd1Z9oXJP67F,spotify:track:4WnjtGGAgtrd1Z9oXJP67F,https://api.spotify.com/v1/tracks/4WnjtGGAgtrd1Z9oXJP67F,https://api.spotify.com/v1/audio-analysis/4WnjtGGAgtrd1Z9oXJP67F,187029,4
39,Belt Notch!,0.611,0.627,9,-7.039,0,0.0322,0.459,0.644,0.118,0.699,150.247,audio_features,0BUbKxBdtAsKpsKCYupKSR,spotify:track:0BUbKxBdtAsKpsKCYupKSR,https://api.spotify.com/v1/tracks/0BUbKxBdtAsKpsKCYupKSR,https://api.spotify.com/v1/audio-analysis/0BUbKxBdtAsKpsKCYupKSR,217227,4
40,I Feel It Coming,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,audio_features,3dhjNA0jGA8vHBQ1VdD6vV,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/tracks/3dhjNA0jGA8vHBQ1VdD6vV,https://api.spotify.com/v1/audio-analysis/3dhjNA0jGA8vHBQ1VdD6vV,269187,4
41,Numb,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,audio_features,2nLtzopw4rPReszdYBJU6h,spotify:track:2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/tracks/2nLtzopw4rPReszdYBJU6h,https://api.spotify.com/v1/audio-analysis/2nLtzopw4rPReszdYBJU6h,185587,4
42,Africa,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,audio_features,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX,295893,4
43,White Onions,0.42,0.976,0,-2.236,1,0.108,3.17e-05,0.00321,0.0426,0.39,164.023,audio_features,36GhBMw1CVJpsrazHYbXQy,spotify:track:36GhBMw1CVJpsrazHYbXQy,https://api.spotify.com/v1/tracks/36GhBMw1CVJpsrazHYbXQy,https://api.spotify.com/v1/audio-analysis/36GhBMw1CVJpsrazHYbXQy,185610,4
44,MAMACITA,0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,audio_features,14wf185UxfNbSy8dwt4r4q,spotify:track:14wf185UxfNbSy8dwt4r4q,https://api.spotify.com/v1/tracks/14wf185UxfNbSy8dwt4r4q,https://api.spotify.com/v1/audio-analysis/14wf185UxfNbSy8dwt4r4q,249143,4
45,Those Kinda Nights (feat. Ed Sheeran),0.794,0.637,4,-6.29,0,0.339,0.028,0.0,0.0919,0.393,103.868,audio_features,0VSzREd1OjEWJ9tXoFHRQH,spotify:track:0VSzREd1OjEWJ9tXoFHRQH,https://api.spotify.com/v1/tracks/0VSzREd1OjEWJ9tXoFHRQH,https://api.spotify.com/v1/audio-analysis/0VSzREd1OjEWJ9tXoFHRQH,177693,4
46,Always Somewhere - 2015 Remaster,0.497,0.51,0,-7.3,1,0.0299,0.0902,0.00142,0.147,0.198,113.074,audio_features,3EYLxYSyCO4fsIIz79rW9z,spotify:track:3EYLxYSyCO4fsIIz79rW9z,https://api.spotify.com/v1/tracks/3EYLxYSyCO4fsIIz79rW9z,https://api.spotify.com/v1/audio-analysis/3EYLxYSyCO4fsIIz79rW9z,297520,4
47,Cuando Pase El Temblor - Remasterizado 2007,0.652,0.607,0,-8.657,1,0.0368,0.0314,0.00285,0.0721,0.72,94.089,audio_features,3uMYq07Kj5m564OQwdSCrD,spotify:track:3uMYq07Kj5m564OQwdSCrD,https://api.spotify.com/v1/tracks/3uMYq07Kj5m564OQwdSCrD,https://api.spotify.com/v1/audio-analysis/3uMYq07Kj5m564OQwdSCrD,229160,4
