,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,lyrics
0,LA NOCHE DE ANOCHE,EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,2020-11-27,203200,87,0.856,0.0303,0.856,0.618,0.0,0.0866,-4.892,0.286,81.993,4,"Yo sé que esto no volverá a pasar
Pero si volviera a pasar, sé que sería tu debilidad

Porque la noche de anoche fue
Algo que yo no puedo explicar
Eso era dando y dándole sin parar
Tú me decías que morías por mí
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Eh, eh

Tú me dejaste el cuerpo caliente, infierno
Pero me dejaste el corazón frío, invierno
Soñando que contigo e' que duermo (Duermo)
Dime, papi
Dime, mami
¿Esa noche quién la borra?
Tú me besaste y se me cayó la gorra
Sin mucha labia, sin mucha cotorra
Cuando 'toy contigo dejo que la vibra corra
Y que la luna no' supervise
Con esa boquita suena rico to' lo que tú me dice'
Hicimo' pose' que yo má' nunca hice
Tú te mojaste' pa' que yo me bautice
Y me ponga serio, serio
Tú y yo junto' creando un imperio
Eso' ojito' tienen un misterio
Pero al final na' 'e lo nuestro fue en serio
Y ya me ha pasa'o que me han ilusiona'o
Y ya me ha pasa'o que me han abandona'o
Y ya me ha pasa'o que no está' a mi la'o
Y ya me ha pasa'o

Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Yo encima de ti, tú encima de mí (Oh-oh)

Que yo me iría otra vez pa' Japón (Hey)
Papi, qué penita tú, qué maldición (Mmm)
La paleta es dulce, azúcar de algodón (Yeh)
Y es la única que me llega hasta al corazón
Yo no me olvido, la suerte está echada (Bum)
Se me enredaba el pelo en la pantalla
Sabe' que solo lo hago de leyenda (¡Wuh!)
Lo subo al cielo, yo soy su Messiah
El Benito es un diablillo y es un ángel
Lo tengo juquea'o como si fuera tote
Baby, entre nosotro' nunca competimos
Si preguntan dice: ""Ella to' los récords bate""
Y ya me ha pasa'o que me han ilusiona'o
Y ya me ha pasa'o que me han abandona'o
Y ya me ha pasa'o que no está' a mi la'o
Y ya me ha pasa'o

Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando y dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)
Porque la noche de anoche fue (Eh-eh)
Algo que yo no puedo explicar (Eh-eh)
Eso era dando, dándole sin parar (Eh-eh)
Tú encima de mí, yo encima de ti (Oh-oh)

Mmm-jum
Mmm-jum
Mmm-jum25EmbedShare URLCopyEmbedCopy"
1,Fire for You,Shadows,Cannons,2019-07-12,231825,75,0.737,0.114,0.737,0.678,0.157,0.123,-7.011,0.0962,102.051,4,"I was on fire for you
Where did you go?
I could have died for you
How could you not know?
I was alive with you
But you brought in the cold
Was I being lied to?
Wish I never met you
Startin' to regret you

My heart just dropped
Thinkin' about you
The world just stops
When I'm without you

I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
You breakin' me down
Don't know what I should do
When you come around
I'm leaving without you, love
I have no choice
I know I'm being lied to
I just need some time to
Stop thinkin' about you

My heart just dropped
Thinkin' about you
The world just stops
When I'm without you
My heart just dropped
Thinkin' about you
The world just stops
When I'm without you

I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
(Fire, on fire)
I was on fire for you7EmbedShare URLCopyEmbedCopy"
2,Tiempo,Tiempo,Ozuna,2021-05-06,171813,71,0.778,0.25,0.778,0.752,0.00386,0.0866,-4.976,0.149,180.017,4,"Woh-oh-oh-oh-oh-oh, jajaja
Woh-oh-oh-oh-oh-oh
Sky Rompiendo El Bajo
Dímelo, Gotay

Me puse a dedicarte tiempo (Tiempo)
Tiempo del que yo había perdido (Perdido)
Amore' como el tuyo, no lo entiendo (No lo entiendo)
Estoy solo y ahora eso e' un lío (Eh, eh)
Porque salgo pa' la pista, pa'l party
Babie' suelta', alcohol y mari (Mari)
No quiero que me llame', mami (Woh)
Ando suelto de party por Miami

Ma', tan chulita que te ve' (Que te ve')
Ese booty parece de TV (De TV, V)
Ando con par dе trago' y par de .10 (Woh)
Yo te di banda pa' que tú mе la de' (Woh)
Mi cubanita quiere que prenda
Tú me conoce', por eso e' que no uso prenda'
Jangueando en Dubái, las babie' están flow Kendall
Yo soy la movie, cabrone', no me la vendan
Mi cubanita quiere que prenda
Tú me conoce', por eso e' que no uso prenda'
Jangueando en Dubái, las babie' están flow Kendall (¡Yah!)
Yo soy la movie, cabrone', no me la vendan, yeah-eh-eh
Me puse a dedicarte tiempo (Tiempo)
Tiempo del que yo había perdido (Había perdido)
Amore' como el tuyo, no lo entiendo (Oh)
Estoy solo y ahora eso e' un lío
Porque salgo pa' la pista, pa'l party
Babie' suelta', alcohol y mari (Mari)
No quiero que me llame', mami (Woh-oh)
Ando suelto de party por Miami (Woh-oh)

Ma' (Ja), hasta abajo (Hasta abajo)
Ja, ese booty yo lo encajo (Jeje)
Y la matrícula prendía' (Prendía')
Ando con Sky, rompiendo el bajo

Tú sabe' cómo hacerlo (-cerlo)
Empieza en lo que yo prendo
Baila, contigo yo estoy aprendiendo (Aprendiendo)
La sustancia, bebé, me está subiendo (Oh, oh)
Y tú sabe' cómo hacerlo (Cómo hacerlo)
Empieza en lo que yo prendo (En lo que prendo)
Baila, contigo yo estoy aprendiendo (Woh-oh-oh-oh)
La sustancia, bebé, me está subiendo (Woh-oh-oh-oh), oh
Me puse a dedicarte tiempo (Tiempo)
Tiempo del que yo había perdido (Había perdido)
Amore' como el tuyo, no lo entiendo (Oh)
Estoy solo y ahora eso e' un lío (Oh-oh-oh)
Porque salgo pa' la pista, pa'l party (Pa'l party)
Babie' suelta', alcohol y mari (Y mari)
No quiero que me llame', mami (Woh-oh)
Ando suelto de party por Miami

Tú sabe' cómo hacerlo (-cerlo)
Empieza en lo que yo prendo
Baila, contigo yo estoy aprendiendo (Aprendiendo)
La sustancia, bebé, me está subiendo (Oh, oh)
Y tú sabe' cómo hacerlo (Cómo hacerlo)
Empieza en lo que yo prendo (En lo que prendo)
Baila, contigo yo estoy aprendiendo (Woh-oh-oh-oh)
La sustancia, bebé, me está subiendo (Woh-oh-oh-oh), oh

Ma', tan chulita que te ve' (Que te ve')
Ese booty parece de TV (De TV)1EmbedShare URLCopyEmbedCopy"
3,Inside of My Eyelids,Inside of My Eyelids,DLG.,2020-01-10,228891,60,0.73,0.677,0.73,0.305,7.24e-05,0.144,-13.371,0.492,99.095,4,"I get this feeling
I can't fight it
Just like the colors
On the inside of my eyelids
But I'll be fine
Killing time
Until some light breaks through
So would you hold my drink?
While I enjoy my view
On the inside of my
On the inside of my
The only thing I see
Spent a minute in the shade, might as well have been blind
When the smoke cleared out, all I found was a fire
Looking 'round I ain't sure, how much else I can find
'Cause I been lost for a while
On the inside of my
On the inside of my
Got nothing but gold
Left on my chеst
Said less is more, but that's just more or lеss
And my tank's been low
But I'll be good
I still got plenty fire underneath my hood
Feel like I'm flying 80 miles out my sunroof
All of my plans way in the air and still they foolproof
I guess I left all of my troubles in my rearview mirror
With my head up above the clouds, the sky always staying clear
I get this feeling
I can't fight it
Just like the colors
That been dancing round and round
When I close my eyelids
On the inside of my
On the inside of my
(All I see, all I see, yeah)
On the inside of myEmbedShare URLCopyEmbedCopy"
4,Lake Zurich,The Now Now,Gorillaz,2018-06-29,253626,56,0.618,0.000108,0.618,0.886,0.881,0.0821,-6.099,0.033,115.082,4,"Last chance to buy before you fly
Last chance to buy before you fly

Okay
In the morning it came to me
Build a tunnel from Zurich to New York
I find it hard to share this with anyone
Because even to me it sounded ridiculous
But one morning
After a long complicated night
I made my mind up, to share my vision with the world
Everything that follows
I'm not responsible for11EmbedShare URLCopyEmbedCopy"
5,Busy Earnin',Jungle,Jungle,2014-07-14,181772,66,0.552,0.209,0.552,0.883,4.91e-06,0.0912,-5.61,0.0355,99.967,4,"So you've come a long way
(Huh, woo-hoo)
But you’re never out late
Never had plans for a normal life
It's crime, too busy earnin'
You can't get enough

Just busy earnin'
You can’t get enough

You think that all your time is used
Too busy earnin'
You can't get enough

And I get it always
But I bet it won't change, no
Damn, that's a boring life
It's crime, busy earnin'
You can't get enough

Just busy earnin'
You can’t get enough
You think that all your time is used
Too busy earnin'
You can't get enough

Just busy earnin'
You can't get enough

You think that all your time is used
Too busy earnin'
You can't get enough

You think that all your time is used
Too busy earnin'
You can't get enough

Just busy earnin'
You can't get enough, no
Just busy earnin'
You can't get enough16EmbedShare URLCopyEmbedCopy"
6,Torre de Marfil,Torre de Marfil,Rufus T. Firefly,2021-05-21,280037,41,0.204,0.0323,0.204,0.599,0.177,0.116,-10.124,0.129,173.791,4,"Tú eres mi casa
El bálsamo del amanecer
No te conozco
Y siempre te voy a querer
Hay una llama
Bailando en tus ojos de cristal
Creo que esa mirada
Es una victoria universal
Si te duermes, búscame
La voz del futuro
Susurra la última canción
Llegar a la cima
No hace que me sienta mejor
Miro el abismo
Él mira dentro de mí
Voy a esperarte
Sentado en mi torre de marfil
Si te duermes, háblame
Tienes mis ojos
Cruza mis sueños otra vez
Aunque me pierdas siempre te perteneceré
Alza la vista
Mira lo que no pude ver
Y no me perdones
Sé que lo volvería a hacer
Sé que lo volvería a hacer
Sé que lo volvería a hacerEmbedShare URLCopyEmbedCopy"
7,In a Mood,In a Mood,TheSecondSex,2017-10-21,247500,52,0.761,0.523,0.761,0.293,0.721,0.124,-19.087,0.0452,143.976,4,"I wanna be happy
But I can’t
‘cause I’m in a mood
I don’t think it’s worth so hard
‘cause when I try it doesn’t seem to turn right

Tell me I’ll be alright
And don’t lie
I mean it
It’s just when I’m in a mood
I cry (yeah)
Tell me I’ll be alright
And don’t lie
I mean it
It’s just when I’m in a mood
I cry (yeah)

There’s no one to please here
No worries when I’m in my room
It’s easy that things make sense
And when I come out and need a little peace of mind

Tell me I’ll be alright
And don’t lie
I mean it
It’s just when i’m in a mood
I cry (yeah)
Tell me now..1EmbedShare URLCopyEmbedCopy"
8,Slide (feat. Frank Ocean & Migos),Funk Wav Bounces Vol.1,Calvin Harris,2017-06-30,230813,69,0.736,0.498,0.736,0.795,1.21e-06,0.254,-3.299,0.0545,104.066,4,"Ranking has ended, so this page is no longer in use. To keep track of the finalized lists and the rest of the EOY process, check for updates in the Year End List Timeline 2017 thread.This is the ranking page for the 2017 Year End Lists. The initial ordering for albums and songs is based on the results of a Google form voting process—click here to learn more. Please do not edit the lyrics of this page. If you would like something changed, discuss it in the suggestions or message @Empath.Example Annotation:
Artist - Album/SongTop 65 Albums:1. Kendrick Lamar - DAMN.
2. Tyler, the Creator - Flower Boy
3. SZA - Ctrl
4. JAY-Z - 4:44
5. Sampha - Process
6. Lorde - Melodrama
7. Migos - Culture
8. BROCKHAMPTON - Saturation I & II
9. Vince Staples - Big Fish Theory
10. Joey Bada$$ - ALL AMERIKKKAN BADA$$
11. Kelela - Take Me Apart
12. Harry Styles - Harry Styles
13. Daniel Caesar - Freudian
14. Rapsody - Laila's Wisdom
15. Big K.R.I.T. - 4Eva Is A Mighty Long Time
16. J Hus - Common Sense
17. Lana Del Rey - Lust for Life
18. Paramore - After Laughter
19. Young Thug - Beautiful Thugger Girls
20. Lecrae - All Things Work Together
21. Run the Jewels - Run the Jewels 3
22. Wiley - Godfather
23. Lil Uzi Vert - Luv Is Rage 2
24. J.I.D - The Never Story
25. 2 Chainz - Pretty Girls Like Trap Music
26. Drake - More Life
27. Björk - Utopia
28. Gorillaz - Humanz
29. Thundercat - Drunk
30. Halsey - hopeless fountain kingdom
31. Gucci Mane - Droptopwop
32. Father John Misty - Pure Comedy
33. Moses Sumney - Aromanticism
34. Fleet Foxes - Crack Up
35. NF - Perception
36. Dvsn - Morning After
37. The xx - I See You
38. Jaden Smith - SYRE
39. Casper - Lang Lebe Der Tod
40. Meek Mill - Wins & Losses
41. Big Sean - I Decided
42. Khalid - American Teen
43. Perfume Genius - No Shape
44. Corbin - Mourn
45. Childish Gambino - Awaken, My Love!
46. Future - FUTURE
47. Logic - Everybody
48. Andy Mineo & Wordsplayed - Magic & Bird
49. J. Cole - 4 Your Eyez Only
50. Kesha - Rainbow
51. Sam Smith - The Thrill of It All
52. IDK - IWasVeryBad
53. Mac Demarco - This Old Dog
54. King Krule - The OOZ
55. Ty Dolla $ign - Beach House 3
56. 21 Savage, Offset, & Metro Boomin - Without Warning
57. A Boogie Wit Da Hoodie - The Bigger Artist
58. Calvin Harris - Funk Wav Bounces Vol. 1
59. milo - who told you to think??!!?!?!
60. Amine - Good For You
61. Witt Lowry - I Could Not Plan This
62. Joji - In Tongues
63. Future - HNDRXX
64. Future & Young Thug - SUPER SLIMEY
65. Kehlani - SweetSexySavageNotable albums released after voting closed but before Dec. 4:YGG - World DominationTBDTBDTBDTBDCritically acclaimed albums not on the list:Rick Ross - Rather You Than MeSyd - FinStormzy - Gang Signs & PrayerWilliam Patrick Corgan - OgilalaCyHi The Prynce - No Dope On SundaysJoyner Lucas - 508-507-2209Talib Kweli - Radio SilenceLil Peep - Come Over When You're Sober, Pt. IChoker - PEAKNeck Deep - The Peace And The PanicBrent Faiyaz – Sonder SonJidenna - The ChiefIbeyi - AshBenjamin Booker - WitnessSt. Vincent - MASSEDUCTIONThe War On Drugs - A Deeper UnderstandingPost Malone - StoneyTBDTBDAlbum Graveyard:Macklemore - GeminiDJ Khaled - GratefulMarilyn Manson - Heaven Upside DownXXXTENTACION - 17Ed Sheeran - ÷Katy Perry - WitnessLinkin Park - One More LightPlayboi Carti - Playboi CartiTaylor Swift - reputationBrand New - Science FictionTBDTop 65 Songs:1. Frank Ocean - “Chanel”
2. Lil Uzi Vert - ""XO Tour Llife""
3. Kendrick Lamar - “DNA.”
4. JAY-Z - ""The Story of O.J""
5. Calvin Harris - “Slide” feat. Frank Ocean & Migos
6. Kendrick Lamar - “XXX” feat. U2
7. Vince Staples - “Yeah Right” feat. Kendrick Lamar
8. Future - “Mask Off”
9. Tyler, the Creator - “See You Again” feat. Kali Uchis
10. Harry Styles - “Sign Of The Times”
11. Khalid - “Location”
12. Cardi B - “Bodak Yellow”
13. NF - ""Let You Down""
14. Frank Ocean - “Biking” feat. Tyler, the Creator & JAY-Z
15. Kendrick Lamar - ""LOVE.""
16. Migos - ""T-Shirt""
17. Logic - “1-800-273-8255”
18. SZA - “Love Galore” feat. Travis Scott
19. Goldlink - “Crew”
20. Tyler, the Creator - ""Boredom"" feat. Anna of the North, Corinne Bailey Rae & Rex Orange County
21. Lorde - “Green Light”
22. Lil Uzi Vert - “Neon Guts” feat. Pharrell Williams
23. Drake - “Teenage Fever”
24. SZA - “The Weekend”
25. Travis Scott - “Butterfly Effect”
26. Kesha - “Praying”
27. Joey Bada$$ - ""Rockabye Baby"" feat. ScHoolboy Q
28. French Montana - ""Unforgettable""
29. Sampha - “(No One Knows Me) Like The Piano”
30. Kelela - ""LMK""
31. Playboi Carti - “Magnolia”
32. Lana Del Rey - “Love”
33. Post Malone - ""rockstar"" feat. 21 Savage
34. Frank Ocean - “Provider”
35. Camila Cabello- ""Havana"" feat. Young Thug
36. A$AP Mob - “RAF” feat. Quavo, A$AP Rocky, Lil Uzi Vert, Playboi Carti & Frank Ocean
37. Portugal. The Man - ""Feel It Still""
38. Lil Uzi Vert - “The Way Life Goes”
39. Mac Demarco - “My Old Man”
40. N.E.R.D - ""Lemon"" feat. RIhanna
41. Tyler, the Creator - “Who Dat Boy?” feat. A$AP Rocky
42. DJ Khaled - “Wild Thoughts” feat. Rihanna & Bryson Tiller
43. Lecrae - ""I'll Find You""
44. A Boogie Wit Da Hoodie - ""Drowning""
45. Marshmello - “Silence” feat. Khalid
46. Young Thug & Carnage - ""Homie"" feat. Meek Mill
47. Selena Gomez - ""Fetish""
48. Freddie Gibbs - ""Crushed Glass""
49. JAY-Z - ""Family Feud""
50. Ski Mask The Slump God - “Catch Me Outside”
51. Meek Mill - ""1942 Flows""
52. 2 Chainz - ""4 AM"" feat. Travis Scott
53. A$AP Ferg - “Plain Jane”
54. Big Sean - ""Sacrifices"" feat. Migos
55. Jaden Smith - ""Icon""
56. Khalid - ""Young Dumb & Broke""
57. Lil Peep - ""Awful Things""
58. BROCKHAMPTON - “SWAMP”
59. Lorde - ""Homemade Dynamite""
60. Tyler, the Creator - “I Ain’t Got Time!”
61. Tyler, the Creator - ""911 / Mr. Lonely""
62. BROCKHAMPTON - ""SWEET""
63. Lil Pump - “Gucci Gang”
64. 21 Savage - “Bank Account”
65. Miguel - ""Sky Walker""Notable songs released after voting closed but before Dec. 4:TBDTBDTBDCritically acclaimed songs not on the list:Futuristic - ""Epiphany""Corbin - ""ICEBOY""Mabel - ""Finders' Keepers""Big Sean - ""No Favors"" feat. EminemKendrick Lamar - ""DUCKWORTH.""Moses Sumney - ""Quarrel""2 Chainz - ""Good Drank"" feat. Gucci Mane & QuavoHalsey - ""Now or Never""Halsey - ""Eyes Closed""Vince Staples - ""Big Fish""The xx - “Replica”The xx - “Dangerous”Offset & Metro Boomin - “Ric Flair Drip”Migos - “Slippery” feat. Gucci ManeYoung Thug - “Relationship”Calvin Harris - “Rollin” feat. Future & KhalidDua Lipa - “New Rules”Kodak Black - “Tunnel Vision”Kyle - “iSpy” feat. Lil YachtyMarian Hill - “Down”Carly Rae Jepsen - “Cut to the Feeling”Luis Fonsi & Daddy Yankee - “Despacito (Remix)"" feat. Justin BieberKendrick Lamar - ""FEEL.""Kali Uchis - ""Tyrant"" feat. Jorja SmithA.CHAL - ""To the Light""J.I.D - ""NEVER""SZA - ""Doves In The Wind"" feat. Kendrick LamarGorillaz - ""Sleeping Powder""IDK - ""Maryland Ass Nigga"" feat. Swizz BeatzBaka - Live Up To My Name21 Savage - Nothing NewBad Bunny - Soy PeorDrake - Portland ft. Travis Scott & QuavoYBN Nahmir - ""Rubbin Off The Paint""Drake - ""Ice Melts"" feat. Young ThugTBDRich Chigga - ""Glow Like Dat""Fabolous & Jadakiss - ""Theme Music""TBDTBDTBDTBDTBDTBDTBDSong Graveyard:Kendrick Lamar - “LUST.”Kendrick Lamar - “FEAR.”Kendrick Lamar - “ELEMENT.""Playboi Carti - “wokeuplikethis*” feat. Lil Uzi VertSelena Gomez - ""Bad Liar""XXXTENTACION - ""Jocelyn Flores""Migos - ""Bad and Boujee"" feat. Lil Uzi VertKendrick Lamar - “HUMBLE.”JAY-Z - ""Marcy Me""Ed Sheeran - ""Shape of You""CyHi The Prynce - ""Dat Side"" feat. Kanye WestEminem - “Walk On Water” feat. BeyonceDrake - “Gyalchester”Taylor Swift - “Getaway Car”Drake - “Passionfruit”Daniel Caesar - ""Get You'"" feat. Kali UchisChildish Gambino - “Redbone”Big Sean - ""Bounce Back""TBDTBDTBDTBD9EmbedShare URLCopyEmbedCopy"
9,Best to You,Freetown Sound,Blood Orange,2016-06-28,225747,59,0.658,0.181,0.658,0.785,0.00223,0.724,-8.513,0.036,125.015,4,"Call it all for nothing
But I'd rather be nothing to you
Than be a part of something
Of something that I didn't do

(Do you really want to?)
I can be the only one
(Did he even notice?)
Who can be the best to you, be the best to you
(Do you really want to?)
I can be the only one
(Did he even notice?)
Who can be the best to you, be the best to you

Part of me is faking
Faking it all just for fun
Part of me is breaking
Breaking apart when you come

(Do you really want to?)
I can be the only one
(Did he even notice?)
Who can be the best to you, be the best to you (Oh)
(Do you really want to?)
I can be the only one
(Did he even notice?)
Who can be the best to you, be the best to you
I feel my bones, I feel my bones, I feel my bones crack in your arms
And I can tell you what you want but I tell you all the things I like
And if I keep myself away, would you chase in the dead of night?
And I can't be the girl you want but I can be the thing you
Throw away, throw away, throw away
Throw away, throw away, you throw away
Throw away, throw away, throw away
Throw away, throw away, you throw away

(Do you really want to?)
I can be the only one
(Did he even notice?)
I can be the best to you, be the best to you (Oh)
(Do you really want to?)
I can be the only one
(Did he even notice?)
I can be the best to you, be the best to you11EmbedShare URLCopyEmbedCopy"
